Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta,Readable_Time,Page_Faults_Smoothed,Swap_Label,Page_Faults_Delta_Scaled
1747421209.9662194,Windows,BT7274_BT7274,BT7274,11719.25,15696.62109375,31.2,3365,00:16:49,4068.3333333333335,1,-0.09193672130831358
1747421210.593321,Windows,BT7274_BT7274,BT7274,11724.38671875,15688.55859375,30.2,3365,00:16:50,3716.6666666666665,1,-0.09193672130831358
1747421211.2065146,Windows,BT7274_BT7274,BT7274,11721.85546875,15684.10546875,30.5,3491,00:16:51,3407.0,1,-0.08608851101373223
1747421211.8051584,Windows,BT7274_BT7274,BT7274,11721.0859375,15703.0546875,26.8,3491,00:16:51,3449.0,1,-0.08608851101373223
1747421212.3971748,Windows,BT7274_BT7274,BT7274,11725.35546875,15702.41015625,36.8,4788,00:16:52,3923.3333333333335,1,-0.025889076473478153
1747421213.0018964,Windows,BT7274_BT7274,BT7274,11723.23046875,15715.359375,32.7,4788,00:16:53,4355.666666666667,1,-0.025889076473478153
1747421213.6135595,Windows,BT7274_BT7274,BT7274,11730.42578125,15713.90234375,29.6,3575,00:16:53,4383.666666666667,1,-0.08218970415067799
1747421214.127071,Windows,BT7274_BT7274,BT7274,11730.42578125,15713.90234375,29.6,3575,00:16:54,3979.3333333333335,1,-0.08218970415067799
1747421214.7858987,Windows,BT7274_BT7274,BT7274,11734.58984375,15712.65234375,32.5,3575,00:16:54,3575.0,1,-0.08218970415067799
1747421215.4272494,Windows,BT7274_BT7274,BT7274,11733.88671875,15710.94921875,28.5,3320,00:16:55,3490.0,1,-0.09402536784209263
1747421216.0374837,Windows,BT7274_BT7274,BT7274,11729.53515625,15710.9453125,34.0,3320,00:16:56,3405.0,1,-0.09402536784209263
1747421216.678408,Windows,BT7274_BT7274,BT7274,11733.99609375,15707.734375,31.4,3663,00:16:56,3434.3333333333335,1,-0.0781052398179545
1747421217.2866647,Windows,BT7274_BT7274,BT7274,11742.8125,15697.5859375,30.0,3663,00:16:57,3548.6666666666665,1,-0.0781052398179545
1747421217.8671527,Windows,BT7274_BT7274,BT7274,11742.8125,15697.5859375,30.0,3663,00:16:57,3663.0,1,-0.0781052398179545
1747421218.4819107,Windows,BT7274_BT7274,BT7274,11733.7578125,15689.4375,36.1,5002,00:16:58,4109.333333333333,1,-0.01595640184617332
1747421219.1080654,Windows,BT7274_BT7274,BT7274,11729.30078125,15698.56640625,37.2,5002,00:16:59,4555.666666666667,1,-0.01595640184617332
1747421219.6898334,Windows,BT7274_BT7274,BT7274,11729.30078125,15698.56640625,37.2,5002,00:16:59,5002.0,1,-0.01595640184617332
1747421220.2572894,Windows,BT7274_BT7274,BT7274,11743.7265625,15785.94921875,41.9,5411,00:17:00,5138.333333333333,1,0.0030270744275074173
1747421220.8588712,Windows,BT7274_BT7274,BT7274,11762.23828125,15807.6171875,36.4,5411,00:17:00,5274.666666666667,1,0.0030270744275074173
1747421221.4787014,Windows,BT7274_BT7274,BT7274,11782.9296875,15815.5234375,30.0,4321,00:17:01,5047.666666666667,1,-0.04756458605736301
1747421222.1078296,Windows,BT7274_BT7274,BT7274,11795.25390625,15797.7734375,29.3,4321,00:17:02,4684.333333333333,1,-0.04756458605736301
1747421222.7210824,Windows,BT7274_BT7274,BT7274,11798.0625,15797.32421875,34.4,4127,00:17:02,4256.333333333333,1,-0.0565689733363216
1747421223.3308115,Windows,BT7274_BT7274,BT7274,11798.0625,15797.32421875,34.4,4127,00:17:03,4191.666666666667,1,-0.0565689733363216
1747421223.9134586,Windows,BT7274_BT7274,BT7274,11803.08203125,15804.87890625,37.2,4127,00:17:03,4127.0,1,-0.0565689733363216
1747421224.5908515,Windows,BT7274_BT7274,BT7274,11810.75,15796.51953125,47.7,3618,00:17:04,3957.3333333333335,1,-0.08019388635173356
1747421225.2005134,Windows,BT7274_BT7274,BT7274,11816.9375,15795.8203125,34.8,3618,00:17:05,3787.6666666666665,1,-0.08019388635173356
1747421225.8269506,Windows,BT7274_BT7274,BT7274,11812.3046875,15811.14453125,31.1,4149,00:17:05,3795.0,1,-0.05554785725314072
1747421226.4372952,Windows,BT7274_BT7274,BT7274,11824.78515625,15831.2890625,36.5,4149,00:17:06,3972.0,1,-0.05554785725314072
1747421227.0335536,Windows,BT7274_BT7274,BT7274,11824.78515625,15831.2890625,36.5,4149,00:17:07,4149.0,1,-0.05554785725314072
1747421227.5809112,Windows,BT7274_BT7274,BT7274,11835.24609375,15825.69140625,36.9,4161,00:17:07,4153.0,1,-0.054990884844132976
1747421228.2223964,Windows,BT7274_BT7274,BT7274,11833.640625,15826.34375,49.9,4161,00:17:08,4157.0,1,-0.054990884844132976
1747421228.8517554,Windows,BT7274_BT7274,BT7274,11828.27734375,15823.359375,46.5,4285,00:17:08,4202.333333333333,1,-0.04923550328438625
1747421229.3748305,Windows,BT7274_BT7274,BT7274,11828.27734375,15823.359375,46.5,4285,00:17:09,4243.666666666667,1,-0.04923550328438625
1747421229.969308,Windows,BT7274_BT7274,BT7274,11778.3828125,15827.66015625,40.4,4285,00:17:09,4285.0,1,-0.04923550328438625
1747421230.6132967,Windows,BT7274_BT7274,BT7274,11791.1171875,15824.20703125,36.7,3977,00:17:10,4182.333333333333,1,-0.06353112844891844
1747421231.234039,Windows,BT7274_BT7274,BT7274,11795.9921875,15810.37890625,36.0,3977,00:17:11,4079.6666666666665,1,-0.06353112844891844
1747421231.8361824,Windows,BT7274_BT7274,BT7274,11790.8125,15796.40625,45.8,3977,00:17:11,3977.0,1,-0.06353112844891844
1747421232.3567493,Windows,BT7274_BT7274,BT7274,11790.8125,15796.40625,45.8,3647,00:17:12,3867.0,1,-0.0788478696966315
1747421232.9678285,Windows,BT7274_BT7274,BT7274,11779.62109375,15785.484375,41.6,3647,00:17:12,3757.0,1,-0.0788478696966315
1747421233.594561,Windows,BT7274_BT7274,BT7274,11783.296875,15752.4140625,34.0,4866,00:17:13,4053.3333333333335,1,-0.022268755814927793
1747421234.2052114,Windows,BT7274_BT7274,BT7274,11768.63671875,15730.515625,34.2,4866,00:17:14,4459.666666666667,1,-0.022268755814927793
1747421234.8135097,Windows,BT7274_BT7274,BT7274,11764.3203125,15725.34765625,31.1,3570,00:17:14,4434.0,1,-0.08242177598776455
1747421235.4154744,Windows,BT7274_BT7274,BT7274,11764.3203125,15725.34765625,31.1,3570,00:17:15,4002.0,1,-0.08242177598776455
1747421235.9270267,Windows,BT7274_BT7274,BT7274,11768.7109375,15711.2890625,29.4,3570,00:17:15,3570.0,1,-0.08242177598776455
1747421236.535755,Windows,BT7274_BT7274,BT7274,11764.33203125,15710.234375,36.3,3375,00:17:16,3505.0,1,-0.09147257763414046
1747421237.1468084,Windows,BT7274_BT7274,BT7274,11758.51953125,15708.70703125,35.5,3375,00:17:17,3440.0,1,-0.09147257763414046
1747421237.7912052,Windows,BT7274_BT7274,BT7274,11754.66015625,15709.59765625,32.9,5318,00:17:17,4022.6666666666665,1,-0.0012894617423026278
1747421238.387893,Windows,BT7274_BT7274,BT7274,11760.03125,15740.05859375,31.4,5318,00:17:18,4670.333333333333,1,-0.0012894617423026278
1747421238.8968031,Windows,BT7274_BT7274,BT7274,11760.03125,15740.05859375,31.4,5318,00:17:18,5318.0,1,-0.0012894617423026278
1747421239.5686853,Windows,BT7274_BT7274,BT7274,11763.5,15783.7734375,42.4,3514,00:17:19,4716.666666666667,1,-0.08502098056313405
1747421240.213205,Windows,BT7274_BT7274,BT7274,11784.93359375,15803.82421875,44.1,3514,00:17:20,4115.333333333333,1,-0.08502098056313405
1747421240.8284235,Windows,BT7274_BT7274,BT7274,11787.34765625,15802.9765625,37.8,4181,00:17:20,3736.3333333333335,1,-0.05406259749578673
1747421241.421041,Windows,BT7274_BT7274,BT7274,11790.08984375,15794.82421875,40.6,4181,00:17:21,3958.6666666666665,1,-0.05406259749578673
1747421241.9293623,Windows,BT7274_BT7274,BT7274,11790.08984375,15794.82421875,40.6,4181,00:17:21,4181.0,1,-0.05406259749578673
1747421242.5513556,Windows,BT7274_BT7274,BT7274,11789.609375,15781.51171875,36.8,3968,00:17:22,4110.0,1,-0.06394885775567426
1747421243.1698508,Windows,BT7274_BT7274,BT7274,11777.16015625,15776.62109375,40.8,3968,00:17:23,4039.0,1,-0.06394885775567426
1747421243.8489852,Windows,BT7274_BT7274,BT7274,11787.1796875,15759.33203125,39.1,4105,00:17:23,4013.6666666666665,1,-0.057590089419502465
1747421244.4751334,Windows,BT7274_BT7274,BT7274,11782.21875,15761.51171875,31.8,4105,00:17:24,4059.3333333333335,1,-0.057590089419502465
1747421244.9767208,Windows,BT7274_BT7274,BT7274,11782.21875,15761.51171875,31.8,4105,00:17:24,4105.0,1,-0.057590089419502465
1747421245.617118,Windows,BT7274_BT7274,BT7274,11791.0078125,15747.89453125,35.5,3327,00:17:25,3845.6666666666665,1,-0.09370046727017145
1747421246.2112234,Windows,BT7274_BT7274,BT7274,11780.65234375,15742.69921875,33.7,3327,00:17:26,3586.3333333333335,1,-0.09370046727017145
1747421246.8226378,Windows,BT7274_BT7274,BT7274,11783.0078125,15794.515625,28.5,4254,00:17:26,3636.0,1,-0.05067434867432293
1747421247.454343,Windows,BT7274_BT7274,BT7274,11783.0078125,15794.515625,28.5,4254,00:17:27,3945.0,1,-0.05067434867432293
1747421248.0022955,Windows,BT7274_BT7274,BT7274,11808.3984375,15845.2890625,32.0,4254,00:17:28,4254.0,1,-0.05067434867432293
1747421248.631811,Windows,BT7274_BT7274,BT7274,11830.04296875,15842.17578125,37.9,5154,00:17:28,4554.0,1,-0.008901417998741848
1747421249.241891,Windows,BT7274_BT7274,BT7274,11831.1015625,15832.91796875,41.8,5154,00:17:29,4854.0,1,-0.008901417998741848
1747421249.7477503,Windows,BT7274_BT7274,BT7274,11831.1015625,15832.91796875,41.8,5154,00:17:29,5154.0,1,-0.008901417998741848
1747421250.358099,Windows,BT7274_BT7274,BT7274,11852.72265625,15787.57421875,36.1,3497,00:17:30,4601.666666666667,1,-0.08581002480922835
1747421250.9968083,Windows,BT7274_BT7274,BT7274,11850.08203125,15764.4375,36.2,3497,00:17:30,4049.3333333333335,1,-0.08581002480922835
1747421251.6221943,Windows,BT7274_BT7274,BT7274,11847.8515625,15752.640625,25.5,4000,00:17:31,3664.6666666666665,1,-0.062463597998320255
1747421252.2499838,Windows,BT7274_BT7274,BT7274,11844.1640625,15737.203125,30.8,4000,00:17:32,3832.3333333333335,1,-0.062463597998320255
1747421252.8589568,Windows,BT7274_BT7274,BT7274,11830.125,15735.73046875,29.1,4350,00:17:32,4116.666666666667,1,-0.04621856940226095
1747421253.499524,Windows,BT7274_BT7274,BT7274,11833.6953125,15733.2578125,25.2,4350,00:17:33,4233.333333333333,1,-0.04621856940226095
1747421254.0962262,Windows,BT7274_BT7274,BT7274,11836.0234375,15731.5859375,28.1,3423,00:17:34,4041.0,1,-0.08924468799810946
1747421254.608868,Windows,BT7274_BT7274,BT7274,11836.0234375,15731.5859375,28.1,3423,00:17:34,3732.0,1,-0.08924468799810946
1747421255.1806023,Windows,BT7274_BT7274,BT7274,11828.15625,15731.16796875,26.9,3423,00:17:35,3423.0,1,-0.08924468799810946
1747421255.8049924,Windows,BT7274_BT7274,BT7274,11832.5078125,15727.0625,25.4,3515,00:17:35,3453.6666666666665,1,-0.08497456619571674
1747421256.4300258,Windows,BT7274_BT7274,BT7274,11833.3359375,15743.2421875,23.0,3515,00:17:36,3484.3333333333335,1,-0.08497456619571674
1747421257.073637,Windows,BT7274_BT7274,BT7274,11818.97265625,15724.54296875,30.1,3395,00:17:37,3475.0,1,-0.09054429028579421
1747421257.682062,Windows,BT7274_BT7274,BT7274,11812.69140625,15725.16796875,32.9,3395,00:17:37,3435.0,1,-0.09054429028579421
1747421258.3408668,Windows,BT7274_BT7274,BT7274,11824.2890625,15724.93359375,24.0,4221,00:17:38,3670.3333333333335,1,-0.05220602279909424
1747421258.950066,Windows,BT7274_BT7274,BT7274,11817.82421875,15724.56640625,22.1,4221,00:17:38,3945.6666666666665,1,-0.05220602279909424
1747421259.5941756,Windows,BT7274_BT7274,BT7274,11821.47265625,15724.2578125,22.5,3426,00:17:39,3956.0,1,-0.08910544489585753
1747421260.2358863,Windows,BT7274_BT7274,BT7274,11810.51171875,15722.38671875,27.6,3426,00:17:40,3691.0,1,-0.08910544489585753
1747421260.8622696,Windows,BT7274_BT7274,BT7274,11810.8359375,15725.875,33.2,3985,00:17:40,3612.3333333333335,1,-0.06315981350957994
1747421261.471082,Windows,BT7274_BT7274,BT7274,11826.06640625,15734.9921875,27.0,3985,00:17:41,3798.6666666666665,1,-0.06315981350957994
1747421262.0751388,Windows,BT7274_BT7274,BT7274,11820.828125,15734.875,26.1,3563,00:17:42,3844.3333333333335,1,-0.08274667655968575
1747421262.6956556,Windows,BT7274_BT7274,BT7274,11822.27734375,15734.375,28.5,3563,00:17:42,3703.6666666666665,1,-0.08274667655968575
1747421263.3086638,Windows,BT7274_BT7274,BT7274,11827.359375,15728.6171875,24.4,4527,00:17:43,3884.3333333333335,1,-0.03800322636939667
1747421263.914523,Windows,BT7274_BT7274,BT7274,11810.26953125,15724.9296875,27.5,4527,00:17:43,4205.666666666667,1,-0.03800322636939667
1747421264.522659,Windows,BT7274_BT7274,BT7274,11813.90625,15724.07421875,25.0,3465,00:17:44,4173.0,1,-0.08729528456658235
1747421265.1390378,Windows,BT7274_BT7274,BT7274,11823.14453125,15729.87890625,22.9,3465,00:17:45,3819.0,1,-0.08729528456658235
1747421265.741482,Windows,BT7274_BT7274,BT7274,11811.21484375,15722.28515625,27.8,3398,00:17:45,3442.6666666666665,1,-0.09040504718354227
1747421266.343676,Windows,BT7274_BT7274,BT7274,11822.6875,15721.1328125,25.7,3398,00:17:46,3420.3333333333335,1,-0.09040504718354227
1747421266.9379525,Windows,BT7274_BT7274,BT7274,11811.73046875,15718.38671875,20.3,3450,00:17:46,3415.3333333333335,1,-0.08799150007784204
1747421267.4566789,Windows,BT7274_BT7274,BT7274,11811.73046875,15718.38671875,20.3,3450,00:17:47,3432.6666666666665,1,-0.08799150007784204
1747421268.009101,Windows,BT7274_BT7274,BT7274,11816.5703125,15717.4296875,21.4,3450,00:17:48,3450.0,1,-0.08799150007784204
1747421268.604627,Windows,BT7274_BT7274,BT7274,11819.6796875,15716.1796875,31.6,4251,00:17:48,3717.0,1,-0.050813591776574865
1747421269.1993625,Windows,BT7274_BT7274,BT7274,11814.36328125,15715.8359375,19.5,4251,00:17:49,3984.0,1,-0.050813591776574865
1747421269.8274815,Windows,BT7274_BT7274,BT7274,11812.1953125,15715.66796875,23.8,3462,00:17:49,3988.0,1,-0.08743452766883428
1747421270.4711895,Windows,BT7274_BT7274,BT7274,11817.8515625,15723.26171875,22.6,3462,00:17:50,3725.0,1,-0.08743452766883428
1747421271.069311,Windows,BT7274_BT7274,BT7274,11802.44921875,15711.96875,32.6,3471,00:17:51,3465.0,1,-0.08701679836207847
1747421271.6762662,Windows,BT7274_BT7274,BT7274,11816.390625,15727.015625,34.3,3471,00:17:51,3468.0,1,-0.08701679836207847
1747421272.301713,Windows,BT7274_BT7274,BT7274,11818.6640625,15718.48046875,40.7,4895,00:17:52,3945.6666666666665,1,-0.02092273915982574
1747421272.9159527,Windows,BT7274_BT7274,BT7274,11804.01171875,15725.99609375,25.2,4895,00:17:52,4420.333333333333,1,-0.02092273915982574
1747421273.6044197,Windows,BT7274_BT7274,BT7274,11824.15625,15726.1640625,22.8,3461,00:17:53,4417.0,1,-0.08748094203625159
1747421274.2160206,Windows,BT7274_BT7274,BT7274,11816.77734375,15726.53515625,22.8,3461,00:17:54,3939.0,1,-0.08748094203625159
1747421274.8427863,Windows,BT7274_BT7274,BT7274,11816.93359375,15726.3203125,25.4,2760,00:17:54,3227.3333333333335,1,-0.12001741359578753
1747421275.450335,Windows,BT7274_BT7274,BT7274,11818.4765625,15724.64453125,24.4,2760,00:17:55,2993.6666666666665,1,-0.12001741359578753
1747421276.0651612,Windows,BT7274_BT7274,BT7274,11816.6640625,15724.7109375,21.4,3177,00:17:56,2899.0,1,-0.1006626223827683
1747421276.7068336,Windows,BT7274_BT7274,BT7274,11811.87890625,15734.203125,24.2,3177,00:17:56,3038.0,1,-0.1006626223827683
1747421277.3198984,Windows,BT7274_BT7274,BT7274,11827.6015625,15733.58203125,35.2,4956,00:17:57,3770.0,1,-0.018091462747369686
